ecotype,treat,gen,trait,Estimate,Std.Error,df,tvalue,Pvalue
aaCol-0,Drought,Anc,flt,-1.41666666666645,3.28955204662446,205.999999999756,-0.430656407494796,0.667168466452665
Abd-0,Drought,Anc,flt,-0.0277777777777652,3.95354952580401,205.999999998828,-0.0070260351100866,0.994400880554817
Ang-0,Drought,Anc,flt,-0.833333333333338,3.28955204662447,205.999999999757,-0.253327298526391,0.800267938262021
Dja-1,Drought,Anc,flt,0.33333333333332,3.50199557725469,205.999999998857,0.095183824759319,0.924261342560545
En-1,Drought,Anc,flt,-0.26666666666667,3.50199557725469,205.999999998857,-0.0761470598074592,0.939376001699518
Fei-0,Drought,Anc,flt,2.99999999999999,3.28955204662447,205.999999999757,0.911978274695001,0.362846153235376
Kar-1,Drought,Anc,flt,-0.333333333333341,3.28955204662447,205.999999999757,-0.101330919410558,0.919386331009315
Ler-0,Drought,Anc,flt,-0.651515151515155,3.33902177061586,205.999999999779,-0.195121564420045,0.845490092891399
Olympia-2,Drought,Anc,flt,-1.5,3.28955204662447,205.999999999757,-0.455989137347503,0.648878121904523
Sap-0,Drought,Anc,flt,-3.75000000000001,3.50199557725469,205.999999998857,-1.07081802854238,0.285504250898043
Tol-0,Drought,Anc,flt,6.60000000000001,5.09615211722363,205.999999999426,1.2950947789988,0.196737094930791
TRE-1,Drought,Anc,flt,11.7454545454545,3.54850485983983,206.000000000847,3.30997279400223,0.00110145409440595
Tri-0,Drought,Anc,flt,-5.54545454545455,3.33902177061586,205.999999999779,-1.66080215297061,0.0982744306032536
Ws-2,Drought,Anc,flt,-1.50000000000001,3.28955204662447,205.999999999757,-0.455989137347504,0.648878121904523
aaCol-0,Salt1,Anc,flt,-0.722132452828977,3.02148362338576,196.6615283304,-0.238999294002389,0.811355009355101
Abd-0,Salt1,Anc,flt,-3.36382585248824,3.3701402124366,201.516180511653,-0.998126380639872,0.319415092124459
Ang-0,Salt1,Anc,flt,-4.13879911949569,3.02148362338576,196.661528308259,-1.36979035314377,0.172314286625367
Dja-1,Salt1,Anc,flt,-4.6950096610618,3.21642789248353,199.737166535656,-1.45969684942528,0.145944392287006
En-1,Salt1,Anc,flt,1.19453421383764,3.02148362338576,196.661528328598,0.395346909906166,0.693015387212059
Fei-0,Salt1,Anc,flt,-5.2950096610618,3.21642789248353,199.737166478502,-1.64623919393179,0.101287066478403
Kar-1,Salt1,Anc,flt,-0.305465786162356,3.02148362338576,196.661528373389,-0.101097945326628,0.919575705015946
Ler-0,Salt1,Anc,flt,-1.05456911503161,3.06773481470893,198.950753225418,-0.343761497889339,0.731388684200897
Olympia-2,Salt1,Anc,flt,3.69453421383765,3.02148362338576,196.661528395696,1.22275500196082,0.222885553373155
Sap-0,Salt1,Anc,flt,0.444534213837646,3.02148362338576,196.661528353294,0.147124482289769,0.883184483530312
Tol-0,Salt1,Anc,flt,-5.90000563786969,3.31194207095627,204.155279801304,-1.78143382688036,0.0763282347195053
TRE-1,Salt1,Anc,flt,0.820168334091223,3.06773481470893,198.950753283544,0.267353074378772,0.789474269958721
Tri-0,Salt1,Anc,flt,-6.19875758761818,3.06599509389363,196.050776674253,-2.02177674712001,0.044558663671257
Ws-2,Salt1,Anc,flt,1.19453421383764,3.02148362338576,196.66152836941,0.395346909906164,0.693015387211971
aaCol-0,Salt2,Anc,flt,-1.91666666666673,2.9485865012341,205.000000001417,-0.650028976889277,0.51640126366576
Abd-0,Salt2,Anc,flt,-7.27777777777778,4.61003219819701,205.000000002078,-1.57868263493347,0.115950652478651
Ang-0,Salt2,Anc,flt,0.200000000000002,3.13901003544556,204.999999999926,0.0637143550806183,0.949259757488608
Dja-1,Salt2,Anc,flt,-5.33333333333334,2.94858650123409,205.000000001417,-1.80877628351793,0.071950936629618
En-1,Salt2,Anc,flt,0.333333333333334,2.94858650123409,205.000000001417,0.113048517719871,0.910102717425502
Fei-0,Salt2,Anc,flt,-2.06666666666666,3.13901003544556,204.999999999926,-0.658381669166381,0.511031631581588
Kar-1,Salt2,Anc,flt,0.166666666666667,2.94858650123409,205.000000001417,0.0565242588599352,0.954979224222187
Ler-0,Salt2,Anc,flt,0.0151515151515128,2.99292863606382,204.999999999356,0.00506243783060576,0.99596569921278
Olympia-2,Salt2,Anc,flt,2.83333333333333,2.94858650123409,205.000000001417,0.960912400618899,0.33772822330951
Sap-0,Salt2,Anc,flt,3.65,3.13901003544556,204.999999999926,1.16278698022127,0.246267731222554
Tol-0,Salt2,Anc,flt,-7.89999999999998,3.88199451516664,205.000000000581,-2.03503636317242,0.0431344518612712
TRE-1,Salt2,Anc,flt,-0.254545454545455,3.1806985817488,205.000000002631,-0.0800281598533307,0.936292929300373
Tri-0,Salt2,Anc,flt,-6.87878787878787,2.99292863606382,204.999999999356,-2.29834677509537,0.0225504206265819
Ws-2,Salt2,Anc,flt,-1.66666666666666,2.94858650123409,205.000000001417,-0.565242588599352,0.572526848265707
aaCol-0,Cd1,Anc,flt,1.10520722589566,3.0200200932475,202.778279101508,0.365960222704084,0.71477625868165
Abd-0,Cd1,Anc,flt,8.30971081001205,4.02903642574448,204.084210440852,2.06245611405129,0.040430712222326
Ang-0,Cd1,Anc,flt,6.52187389256231,3.0200200932475,202.778279025113,2.15954652326474,0.0319815226102966
Dja-1,Cd1,Anc,flt,-2.57422044645396,3.21595079436521,203.44202838426,-0.800453928264186,0.424381594255542
En-1,Cd1,Anc,flt,-0.144792774104357,3.0200200932475,202.778279035363,-0.0479443081945384,0.961807814299
Fei-0,Cd1,Anc,flt,2.18854055922897,3.0200200932475,202.778279007096,0.72467748281621,0.469485252959503
Kar-1,Cd1,Anc,flt,0.0218738925623086,3.0200200932475,202.778279029966,0.00724296259194323,0.99422812310533
Ler-0,Cd1,Anc,flt,-1.4289972933979,3.06636835448193,203.571537704733,-0.466022710973136,0.641697489109105
Olympia-2,Cd1,Anc,flt,-1.81145944077103,3.0200200932475,202.778279029334,-0.59981701605936,0.549297851597719
Sap-0,Cd1,Anc,flt,-1.39479277410437,3.0200200932475,202.778279007142,-0.461848839093157,0.644684818900104
