layer,P.layer,P.row,treat.1,Generation,bu,ID,ecotype,treat,flt,height,diam,biomass,fruit,rm
1,1,1_1,JA,Anc,NA,4,aaCol-0,JA,29,35.7,7,336.6,403,FALSE
1,1,1_2,Salt1,Anc,NA,17,aaCol-0,Salt1,31,34.3,10,216.1,281,FALSE
1,1,1_3,Salt2,Anc,NA,40,aaCol-0,Salt2,31,32.7,7,213.5,140,FALSE
1,1,1_4,Cd2,Anc,NA,54,aaCol-0,Cd2,29,45.5,7,145.8,251,FALSE
1,1,1_5,actr,Anc,NA,69,aaCol-0,actr1,33,40,10,342.4,363,FALSE
1,1,1_6,Cd1,Anc,NA,83,aaCol-0,Cd1,31,38.2,8.1,203,275,FALSE
1,1,1_7,JActr,Anc,NA,85,aaCol-0,JActr,31,41.6,8.5,247.8,231,FALSE
2,2,2_1,Nutrient2,Anc,NA,105,aaCol-0,Nutrient2,30,39,9,348.6,484,FALSE
2,2,2_2,actr,Anc,NA,125,aaCol-0,actr2,30,41.5,6.6,217.9,282,FALSE
2,2,2_4,Drought,Anc,NA,140,aaCol-0,Drought,30,42.2,6,122.8,127,FALSE
2,2,2_5,Leaf,Anc,NA,148,aaCol-0,Leaf,32,39.5,7.7,247.8,251,FALSE
2,2,2_6,Nutrient1,Anc,NA,158,aaCol-0,Nutrient1,30,32,8,129.5,220,FALSE
3,3,3_1,JA,Anc,NA,173,aaCol-0,JA,36,55.3,5.5,264.6,306,FALSE
3,3,3_2,Salt2,Anc,NA,186,aaCol-0,Salt2,39,32.1,1.5,68.7,58,FALSE
3,3,3_3,Salt1,Anc,NA,204,aaCol-0,Salt1,39,27.6,3.8,40.5,24,FALSE
3,3,3_4,Cd2,Anc,NA,219,aaCol-0,Cd2,32,38.7,4.7,99.8,81,FALSE
3,3,3_5,actr,Anc,NA,238,aaCol-0,actr1,35,40.2,5.5,163.9,113,FALSE
3,3,3_6,JActr,Anc,NA,240,aaCol-0,JActr,34,43.6,6.3,168.9,265,FALSE
3,3,3_7,Cd1,Anc,NA,258,aaCol-0,Cd1,36,42.6,4.3,87.3,103,FALSE
4,4,4_1,Drought,Anc,NA,270,aaCol-0,Drought,34,36.1,NA,75.2,63,FALSE
4,4,4_3,Leaf,Anc,NA,288,aaCol-0,Leaf,35,39.8,6.4,121.7,130,FALSE
4,4,4_4,Nutrient1,Anc,NA,304,aaCol-0,Nutrient1,41,NA,NA,118.7,NA,FALSE
4,4,4_6,actr,Anc,NA,320,aaCol-0,actr2,32,41.5,11.2,318.1,NA,FALSE
4,4,4_7,Nutrient2,Anc,NA,330,aaCol-0,Nutrient2,30,40.3,8.5,266.8,307,FALSE
5,5,5_1,Salt1,Anc,NA,338,aaCol-0,Salt1,34,38.1,5,157,133,FALSE
5,5,5_2,JActr,Anc,NA,363,aaCol-0,JActr,32,48,3.2,190.2,204,FALSE
5,5,5_3,Cd1,Anc,NA,367,aaCol-0,Cd1,39,35.9,6.7,134.8,119,FALSE
5,5,5_4,Cd2,Anc,NA,390,aaCol-0,Cd2,33,42.3,7.1,229,301,FALSE
5,5,5_5,JA,Anc,NA,401,aaCol-0,JA,34,43.8,11,431.1,510,FALSE
5,5,5_6,Salt2,Anc,NA,413,aaCol-0,Salt2,32,29.4,6.8,93.9,73,FALSE
5,5,5_7,actr,Anc,NA,434,aaCol-0,actr1,30,41,8.3,292.5,329,FALSE
7,7,7_1,Cd2,Anc,NA,438,aaCol-0,Cd2,29,30,5,76.9,111,FALSE
7,7,7_2,Cd1,Anc,NA,457,aaCol-0,Cd1,38,31,NA,114,88,FALSE
7,7,7_3,JA,Anc,NA,468,aaCol-0,JA,35,45.6,4.3,200.2,298,FALSE
7,7,7_4,actr,Anc,NA,482,aaCol-0,actr1,32,38.2,5.9,111,203,FALSE
7,7,7_5,Salt1,Anc,NA,491,aaCol-0,Salt1,30,35,NA,184.5,212,FALSE
7,7,7_6,JActr,Anc,NA,516,aaCol-0,JActr,31,38,2.5,68.5,58,FALSE
7,7,7_7,Salt2,Anc,NA,523,aaCol-0,Salt2,27,34.8,2.3,77.6,89,FALSE
8,8,8_1,Drought,Anc,NA,536,aaCol-0,Drought,29,39,5.1,101.3,120,FALSE
8,8,8_2,Nutrient1,Anc,NA,548,aaCol-0,Nutrient1,31,41.2,4,71.8,138,FALSE
8,8,8_3,Nutrient2,Anc,NA,573,aaCol-0,Nutrient2,29,37.4,6.2,336.8,404,FALSE
8,8,8_6,Leaf,Anc,NA,583,aaCol-0,Leaf,34,44.5,11.9,369.7,259,FALSE
8,8,8_7,actr,Anc,NA,598,aaCol-0,actr2,33,53,9.9,269.6,244,FALSE
9,9,9_1,actr,Anc,NA,606,aaCol-0,actr1,32,42.3,6.4,174.9,265,FALSE
9,9,9_2,Cd1,Anc,NA,624,aaCol-0,Cd1,31,54,NA,144.5,36,FALSE
9,9,9_3,Cd2,Anc,NA,640,aaCol-0,Cd2,34,38,7.2,157.2,176,FALSE
9,9,9_4,Salt1,Anc,NA,646,aaCol-0,Salt1,28,38,3,136.2,185,FALSE
9,9,9_5,Salt2,Anc,NA,667,aaCol-0,Salt2,31,34.6,NA,127.2,66,FALSE
9,9,9_6,JA,Anc,NA,682,aaCol-0,JA,31,42,9.1,346.8,408,FALSE
9,9,9_7,JActr,Anc,NA,693,aaCol-0,JActr,31,36.8,9,160.4,63,FALSE
10,10,10_1,actr,Anc,NA,704,aaCol-0,actr2,34,37.6,6,116.5,196,FALSE
10,10,10_2,Drought,Anc,NA,719,aaCol-0,Drought,30,26.3,NA,96.3,92,FALSE
10,10,10_3,Nutrient2,Anc,NA,742,aaCol-0,Nutrient2,31,33,9,218.7,176,FALSE
10,10,10_4,Leaf,Anc,NA,748,aaCol-0,Leaf,32,32.2,7.5,250.6,238,FALSE
10,10,10_5,Nutrient1,Anc,NA,764,aaCol-0,Nutrient1,31,39,7.6,108.7,136,FALSE
11,11,11_1,actr,Anc,NA,774,aaCol-0,actr1,37,36.8,NA,243.5,209,FALSE
11,11,11_2,JActr,Anc,NA,791,aaCol-0,JActr,33,43,6.5,417.1,308,FALSE
11,11,11_3,JA,Anc,NA,807,aaCol-0,JA,33,43.3,8.5,487.8,345,FALSE
11,11,11_4,Cd2,Anc,NA,819,aaCol-0,Cd2,34,43,7.1,210.2,260,FALSE
11,11,11_5,Salt1,Anc,NA,840,aaCol-0,Salt1,36,45.3,9.2,195,147,FALSE
11,11,11_6,Salt2,Anc,NA,842,aaCol-0,Salt2,31,46.5,9.3,183.5,93,FALSE
11,11,11_7,Cd1,Anc,NA,865,aaCol-0,Cd1,34,52,10.4,184.3,257,FALSE
