ecotype,treat,gen,trait,Estimate,Std.Error,df,tvalue,Pvalue
aaCol-0,Drought,F1,flt,1.40445133334178,4.64197586044964,73.9999999998094,0.302554639568017,0.763078105462314
Abd-0,Drought,F1,flt,14.7555022804795,4.58437136464146,73.9999999998227,3.21865335655099,0.00191291307341498
Ang-0,Drought,F1,flt,4.21582916194626,5.00349617994513,73.9999999997404,0.842576672456357,0.402180316438746
Dja-1,Drought,F1,flt,-3.09247768170366,4.78238694738164,73.9999999994715,-0.646638951579773,0.519866290830617
Ler-0,Drought,F1,flt,-3.49549059672243,4.69950515737708,73.9999999997174,-0.743799715005176,0.459352888622639
Sap-0,Drought,F1,flt,-18.4664606852861,6.34726939498372,73.9999999987809,-2.90935511574161,0.00478014747934264
Tol-0,Drought,F1,flt,-8.3430074596112,4.52540650660154,73.9999999993092,-1.8435929341244,0.0692462351330489
TRE-1,Drought,F1,flt,1.15902050998189,4.50642711983435,73.9999999996058,0.257192778039311,0.797743760558689
Tri-0,Drought,F1,flt,2.73901534838196,5.03617884973705,73.9999999990776,0.543867767628023,0.588167365469932
aaCol-0,Drought,F2,flt,1.76472676518589,3.6693528403919,76.9504010301141,0.48093678693418,0.631926092473438
Abd-0,Drought,F2,flt,-2.93515758930634,3.91823331130845,78.6178717816217,-0.749102300987323,0.456031086871886
Ang-0,Drought,F2,flt,3.56979308878415,3.64711731329726,77.0720932548684,0.978798536523301,0.330741978206586
Dja-1,Drought,F2,flt,-0.922814798020213,3.75765775739239,76.5082043569103,-0.245582449919706,0.806663062221626
Fei-0,Drought,F2,flt,4.70386529580438,3.70957950835633,76.9969917662096,1.26803193871658,0.208607474847029
Ler-0,Drought,F2,flt,0.9374422385695,3.74622504341354,73.269869905742,0.250236498797015,0.80310478055654
Sap-0,Drought,F2,flt,1.89176010850402,3.77069665241558,76.7680262255323,0.501700423790951,0.617314093773607
Tol-0,Drought,F2,flt,-3.18319024769666,3.50659224219665,74.776652699729,-0.9077731392295,0.366914369623536
TRE-1,Drought,F2,flt,10.3785705147676,3.73307780687495,76.8037489239256,2.78016453224043,0.00682957417708596
Tri-0,Drought,F2,flt,8.07251319162926,3.65170572415912,78.1712025180293,2.21061438171832,0.0299862304854682
aaCol-0,Drought,F3,flt,1.2969988710795,4.91180266497184,65.3226839079354,0.264057609709964,0.792566822012404
Abd-0,Drought,F3,flt,-4.36150801500433,4.56581490591157,48.3148048597497,-0.955252918675542,0.344205156610984
Ang-0,Drought,F3,flt,9.77155130219814,4.39704760505769,51.4165760378274,2.22229827372313,0.0306881995876686
Dja-1,Drought,F3,flt,5.43974072718256,4.81289307603452,51.4725931114538,1.13024341934156,0.263612964995633
Fei-0,Drought,F3,flt,14.0231599826954,5.40487527378377,67.9852975867296,2.59453905452997,0.0115922646941651
Ler-0,Drought,F3,flt,-1.1673987472828,4.94860907465369,32.7495451006133,-0.235904418730933,0.814975955598043
Sap-0,Drought,F3,flt,-4.51843156079311,4.78807019978532,49.8609953859468,-0.94368532044407,0.349880884492152
Tol-0,Drought,F3,flt,-2.15630506918605,5.09045264540423,64.3345764293398,-0.423597903642775,0.673271964866601
TRE-1,Drought,F3,flt,2.82104566704877,4.76903081147098,63.7024675899668,0.591534376390124,0.55625586830258
Tri-0,Drought,F3,flt,-6.58574903694217,4.60624166687056,53.8109565433625,-1.42974457556337,0.158570895623083
aaCol-0,Drought,F4,flt,0.728012762255851,4.69892668505948,77.4932892068538,0.15493171335714,0.877277981556303
Abd-0,Drought,F4,flt,10.4252296618932,5.81412115619829,77.8598875438575,1.79308779122691,0.0768423337122189
Ang-0,Drought,F4,flt,8.89222151299853,4.44121952264178,77.9532104837266,2.00220265349756,0.0487409686413493
Dja-1,Drought,F4,flt,-3.40119167628396,4.19809632107867,77.9884036862584,-0.810174759260894,0.42030502636988
Fei-0,Drought,F4,flt,-2.5734453581097,4.21434641184721,77.943279069816,-0.610639256154959,0.543214984168476
