exp.ID,P.layer,P.row,P.col,layer,row,col,replicate,replicate.raw,Generation,treat,treat.1,ecotype,id,flt,height,diam,biomass,fruit,rm
1,1,1_6,9,4,5,15,1,1,F2,Cd1,Cd1,Abd-0,79,50,NA,NA,NA,NA,FALSE
2,3,3_7,3,10,6,1,2,2,F2,Cd1,Cd1,Abd-0,255,41,40.4,12.3,450.3,269,FALSE
3,5,5_3,12,13,1,2,3,3,F2,Cd1,Cd1,Abd-0,376,27,30.5,7.9,233.6,488,FALSE
4,1,1_6,7,13,1,5,1,1,F2,Cd1,Cd1,Ang-0,77,NA,NA,NA,NA,NA,FALSE
5,3,3_7,14,2,3,11,2,2,F2,Cd1,Cd1,Ang-0,266,31,32.2,3.8,76.1,187,FALSE
6,5,5_3,4,2,1,5,3,3,F2,Cd1,Cd1,Ang-0,368,28,31.3,NA,108.3,192,FALSE
7,1,1_6,13,6,1,14,1,1,F2,Cd1,Cd1,aaCol-0,83,22,34.7,9.3,273,468,FALSE
8,3,3_7,6,11,3,1,2,2,F2,Cd1,Cd1,aaCol-0,258,23,50,6,141.2,137,FALSE
9,5,5_3,3,10,5,4,3,3,F2,Cd1,Cd1,aaCol-0,367,22,48.6,7.8,307.8,384,FALSE
10,1,1_6,2,8,6,11,1,1,F2,Cd1,Cd1,Dja-1,72,21,22.9,8.4,232.5,192,FALSE
11,3,3_7,11,10,4,1,2,2,F2,Cd1,Cd1,Dja-1,263,26,26.2,5.2,196.7,563,FALSE
12,5,5_3,2,2,4,8,3,3,F2,Cd1,Cd1,Dja-1,366,21,27.9,9.5,231.9,414,FALSE
13,1,1_6,3,5,1,15,1,1,F2,Cd1,Cd1,Fei-0,73,40,45.2,11.9,445.5,160,FALSE
14,3,3_7,1,14,2,6,2,2,F2,Cd1,Cd1,Fei-0,253,20,44.5,12.7,401,507,FALSE
15,5,5_3,13,14,2,15,3,3,F2,Cd1,Cd1,Fei-0,377,33,55.3,13.8,785.8,403,FALSE
16,1,1_6,6,11,2,10,1,1,F2,Cd1,Cd1,Ler-0,76,17,26.6,8.7,237.9,326,FALSE
17,3,3_7,10,15,5,6,2,2,F2,Cd1,Cd1,Ler-0,262,20,18.7,5.3,117.3,203,FALSE
18,5,5_3,10,8,1,3,3,3,F2,Cd1,Cd1,Ler-0,374,18,25.1,4.8,95.3,122,FALSE
19,1,1_6,8,8,4,8,1,1,F2,Cd1,Cd1,Sap-0,78,22,37.4,7.6,188.5,195,FALSE
20,3,3_7,5,10,3,7,2,2,F2,Cd1,Cd1,Sap-0,257,21,36.3,NA,175.5,388,FALSE
21,5,5_3,5,1,4,14,3,3,F2,Cd1,Cd1,Sap-0,369,23,33.8,NA,48.5,184,FALSE
22,1,1_6,11,6,5,1,1,1,F2,Cd1,Cd1,Tol-0,81,30,44.2,7.5,183.6,169,FALSE
23,3,3_7,4,13,1,11,2,2,F2,Cd1,Cd1,Tol-0,256,33,47.3,11.7,NA,247,FALSE
24,5,5_3,9,7,1,9,3,3,F2,Cd1,Cd1,Tol-0,373,27,47.1,11.8,275.6,149,FALSE
25,1,1_6,1,6,3,11,1,1,F2,Cd1,Cd1,TRE-1,71,25,54,8.9,354.2,325,FALSE
26,3,3_7,7,6,6,12,2,2,F2,Cd1,Cd1,TRE-1,259,25,60.5,10.6,419.2,227,FALSE
27,5,5_3,14,16,2,7,3,3,F2,Cd1,Cd1,TRE-1,378,23,37.6,NA,142.7,142,FALSE
28,1,1_6,10,3,6,10,1,1,F2,Cd1,Cd1,Tri-0,80,33,47.5,10.2,240.5,219,FALSE
29,3,3_7,2,7,3,11,2,2,F2,Cd1,Cd1,Tri-0,254,21,42.5,11,230.2,186,FALSE
30,5,5_3,6,10,6,8,3,3,F2,Cd1,Cd1,Tri-0,370,16,37.7,4.6,226.9,406,FALSE
31,1,1_6,9,12,3,15,1,1,F3,Cd1,Cd1,Abd-0,79,42,28.4,4.7,195.1,256,FALSE
32,3,3_7,3,7,1,15,2,2,F3,Cd1,Cd1,Abd-0,255,54,34.3,11.8,568.6,242,FALSE
33,5,5_3,12,5,2,5,3,3,F3,Cd1,Cd1,Abd-0,376,55,36.2,9.8,713.6,215,FALSE
34,1,1_6,7,4,5,10,1,1,F3,Cd1,Cd1,Ang-0,77,44,42.6,7.9,291.2,384,FALSE
35,3,3_7,14,8,6,4,2,2,F3,Cd1,Cd1,Ang-0,266,45,36.7,8.2,375.4,225,FALSE
36,5,5_3,4,15,3,7,3,3,F3,Cd1,Cd1,Ang-0,368,34,44.4,9.6,424.5,301,FALSE
37,1,1_6,13,10,3,11,1,1,F3,Cd1,Cd1,aaCol-0,83,24,53.4,10.7,481.5,535,FALSE
38,3,3_7,6,13,6,7,2,2,F3,Cd1,Cd1,aaCol-0,258,25,56.2,10.2,290.2,386,FALSE
39,5,5_3,3,5,3,11,3,3,F3,Cd1,Cd1,aaCol-0,367,21,33.6,6.3,213,312,FALSE
40,1,1_6,2,13,2,7,1,1,F3,Cd1,Cd1,Dja-1,72,NA,NA,NA,NA,NA,FALSE
41,3,3_7,11,11,4,3,2,2,F3,Cd1,Cd1,Dja-1,263,32,27.2,11.7,532.9,417,FALSE
42,5,5_3,2,2,1,4,3,3,F3,Cd1,Cd1,Dja-1,366,33,18.6,7.9,293.4,359,FALSE
43,1,1_6,3,15,6,14,1,1,F3,Cd1,Cd1,Fei-0,73,36,38.5,11.6,518.8,210,FALSE
44,3,3_7,1,4,1,4,2,2,F3,Cd1,Cd1,Fei-0,253,27,43.2,10.6,196.7,303,FALSE
45,5,5_3,13,11,2,6,3,3,F3,Cd1,Cd1,Fei-0,377,26,45.4,12.2,535.5,428,FALSE
46,1,1_6,6,12,4,8,1,1,F3,Cd1,Cd1,Ler-0,76,20,21.6,4.3,62.6,158,FALSE
47,3,3_7,10,5,5,5,2,2,F3,Cd1,Cd1,Ler-0,262,21,18.2,2.3,80,110,FALSE
48,5,5_3,10,9,2,7,3,3,F3,Cd1,Cd1,Ler-0,374,19,26.2,4.6,95.4,154,FALSE
49,1,1_6,8,7,6,7,1,1,F3,Cd1,Cd1,Sap-0,78,25,33.6,6.3,142.8,205,FALSE
50,3,3_7,5,5,1,11,2,2,F3,Cd1,Cd1,Sap-0,257,36,38.2,5.7,154,227,FALSE
51,5,5_3,5,8,1,1,3,3,F3,Cd1,Cd1,Sap-0,369,23,35.3,7.1,97.7,259,FALSE
52,1,1_6,11,10,4,8,1,1,F3,Cd1,Cd1,Tol-0,81,26,49.2,8.3,350.4,239,FALSE
53,3,3_7,4,6,3,6,2,2,F3,Cd1,Cd1,Tol-0,256,49,46.2,9.2,399.6,162,FALSE
54,5,5_3,9,1,3,12,3,3,F3,Cd1,Cd1,Tol-0,373,31,44.9,9.8,212,254,FALSE
55,1,1_6,1,15,6,12,1,1,F3,Cd1,Cd1,TRE-1,71,46,46.8,11.2,689.6,340,FALSE
