ecotype,treat,gen,trait,Estimate,Std.Error,df,tvalue,Pvalue
aaCol-0,Drought,F1,flt,-0.486500081599648,3.62883489009252,197.999999997893,-0.134065091505787,0.89348727438287
Abd-0,Drought,F1,flt,-8.09371451914846,3.77208515565869,197.999999998322,-2.14568711605216,0.0331153539134448
Ang-0,Drought,F1,flt,-2.76378935537484,3.90835350996398,197.999999997972,-0.707149276115585,0.4803051505645
Dja-1,Drought,F1,flt,-2.6606972607267,3.6565847298914,197.999999998106,-0.727645455327854,0.467690201774385
En-1,Drought,F1,flt,3.36778658316808,3.77561015512216,197.999999998612,0.891984724270111,0.37348383903917
Fei-0,Drought,F1,flt,-2.52746523465282,3.72605033911167,197.999999998168,-0.678322890091546,0.498358976573696
Kar-1,Drought,F1,flt,0.4784310824693,3.72813847061664,197.999999997041,0.128329751225728,0.898018272651547
Ler-0,Drought,F1,flt,-1.33628366132624,3.76754844196936,197.999999998302,-0.354682542748604,0.723204910666774
Olympia-2,Drought,F1,flt,-3.18921426824941,3.64561152362866,197.999999998899,-0.874809136294103,0.382737669430577
Sap-0,Drought,F1,flt,4.42580673439035,3.89066025089122,197.999999998307,1.13754644430249,0.25668460366588
Tol-0,Drought,F1,flt,-1.84089412072551,3.65242343905559,197.999999997955,-0.50401990662986,0.614807748519305
TRE-1,Drought,F1,flt,13.4939310170482,3.77634122926904,197.999999998039,3.57328170252776,0.000442764107215653
Tri-0,Drought,F1,flt,1.77056074581523,3.69370129659676,197.999999996979,0.47934594696289,0.632221545072158
Ws-2,Drought,F1,flt,0.58151153765703,3.61641199093912,197.999999998886,0.16079792322169,0.872416501450531
aaCol-0,Drought,F2,flt,0.0227093947122459,1.90862746481992,208.99999999901,0.0118982856166688,0.990518115380332
Abd-0,Drought,F2,flt,-0.290988394558452,1.92148041897065,208.999999998556,-0.151439687693688,0.879774959080611
Ang-0,Drought,F2,flt,3.57793483916152,1.92738286323509,208.999999999008,1.85636953996571,0.064808353377801
Dja-1,Drought,F2,flt,-0.877578801992818,1.92143153829064,208.999999999946,-0.456731756767943,0.648338180883085
En-1,Drought,F2,flt,-2.36192101440806,1.93528125007817,208.999999999007,-1.2204536236336,0.223668162795164
Fei-0,Drought,F2,flt,1.90800502879448,1.99587855238558,209.000000000381,0.955972509707029,0.340190566321327
Kar-1,Drought,F2,flt,-0.757449624003092,1.91401361030341,208.999999998256,-0.39573889126265,0.692701330570514
Ler-0,Drought,F2,flt,-0.837087115279066,1.95060030086516,208.999999999656,-0.429143333417813,0.668260949957648
Olympia-2,Drought,F2,flt,-2.62882792590679,1.91409512318134,208.999999999426,-1.37340505916839,0.171097942886678
Sap-0,Drought,F2,flt,2.82055203625223,1.91542004238214,208.999999999165,1.47255013200364,0.142376691885295
Tol-0,Drought,F2,flt,2.92845135137424,1.91192504439543,208.999999998416,1.53167686147458,0.127114426980017
TRE-1,Drought,F2,flt,1.24460725405077,1.94711605186487,208.999999998352,0.639205481798956,0.523389211026553
