layer,P.layer,P.row,replicate,Row,Col,treat.1,Generation,ecotype,treat,flt,height,diam,biomass,fruit,rm,id
4,1,1_1,1,1,7,JA,F1,aaCol-0,JA,35,32.9,7.4,155.8,205,FALSE,4
4,1,1_2,1,4,12,Salt1,F1,aaCol-0,Salt1,39,34.7,7.7,94.2,79,FALSE,17
3,1,1_3,1,6,5,Salt2,F1,aaCol-0,Salt2,40,37,9.2,188.7,199,FALSE,40
4,1,1_4,1,4,14,Cd2,F1,aaCol-0,Cd2,38,33.7,6.8,81.7,101,FALSE,54
4,1,1_5,1,5,6,actr,F1,aaCol-0,actr1,44,44.9,8.7,128.3,105,FALSE,69
3,1,1_6,1,3,14,Cd1,F1,aaCol-0,Cd1,32,34.5,6.7,150.7,196,FALSE,83
4,1,1_7,1,3,5,JActr,F1,aaCol-0,JActr,40,43.2,11,148.2,149,FALSE,85
4,2,2_1,1,6,3,Nutrient2,F1,aaCol-0,Nutrient2,40,39.1,8.5,124.6,145,FALSE,105
3,2,2_2,1,5,3,actr,F1,aaCol-0,actr2,36,32.3,8.2,102.7,99,FALSE,125
4,2,2_4,1,6,9,Drought,F1,aaCol-0,Drought,40,35.1,9,93.8,116,FALSE,140
3,2,2_5,1,4,3,Leaf,F1,aaCol-0,Leaf,35,30.6,7.5,157.3,178,FALSE,148
3,2,2_6,1,4,11,Nutrient1,F1,aaCol-0,Nutrient1,36,31.3,5.5,145.2,173,FALSE,158
5,3,3_1,2,3,10,JA,F1,aaCol-0,JA,33,33.6,6,120.9,156,FALSE,173
9,3,3_2,2,3,13,Salt2,F1,aaCol-0,Salt2,40,37.8,9.4,187.2,128,FALSE,186
9,3,3_3,2,6,6,Salt1,F1,aaCol-0,Salt1,42,37,8.3,126,103,FALSE,204
5,3,3_4,2,4,11,Cd2,F1,aaCol-0,Cd2,33,19.3,4.9,42.4,52,FALSE,219
5,3,3_5,2,1,6,actr,F1,aaCol-0,actr1,41,41.5,7.6,156.6,121,FALSE,238
9,3,3_6,2,2,4,JActr,F1,aaCol-0,JActr,43,54.9,8.3,208.6,157,FALSE,240
9,3,3_7,2,3,4,Cd1,F1,aaCol-0,Cd1,33,35.4,6.6,114,123,FALSE,258
5,4,4_1,2,6,7,Drought,F1,aaCol-0,Drought,40,32.7,5.5,117.3,103,FALSE,270
5,4,4_3,2,6,13,Leaf,F1,aaCol-0,Leaf,42,27,3.3,65.5,59,FALSE,288
5,4,4_4,2,2,11,Nutrient1,F1,aaCol-0,Nutrient1,36,37.2,8.2,140.6,173,FALSE,304
5,4,4_6,2,1,9,actr,F1,aaCol-0,actr2,38,22.4,4.6,28.2,27,FALSE,320
9,4,4_7,2,2,10,Nutrient2,F1,aaCol-0,Nutrient2,40,36,5.3,150.8,142,FALSE,330
11,5,5_1,3,4,3,Salt1,F1,aaCol-0,Salt1,33,32.5,7.3,142,197,FALSE,338
1,5,5_2,3,5,12,JActr,F1,aaCol-0,JActr,32,39,8.8,151.8,182,FALSE,363
11,5,5_4,3,4,11,Cd2,F1,aaCol-0,Cd2,35,31,6.9,125.7,146,FALSE,390
11,5,5_5,3,6,6,JA,F1,aaCol-0,JA,42,36.3,5.7,71.5,53,FALSE,401
1,5,5_6,3,6,12,Salt2,F1,aaCol-0,Salt2,32,31.2,7.5,73.1,101,FALSE,413
11,5,5_7,3,2,8,actr,F1,aaCol-0,actr1,45,37.5,7.2,142.1,77,FALSE,434
6,7,7_1,4,6,10,Cd2,F1,aaCol-0,Cd2,36,26,6.5,39.6,39,FALSE,438
8,7,7_2,4,5,8,Cd1,F1,aaCol-0,Cd1,39,35.2,8.3,142.8,150,FALSE,457
6,7,7_3,4,4,12,JA,F1,aaCol-0,JA,39,25.2,4.7,20.9,17,FALSE,468
6,7,7_4,4,3,13,actr,F1,aaCol-0,actr1,36,35.3,8.1,104.6,93,FALSE,482
8,7,7_5,4,1,7,Salt1,F1,aaCol-0,Salt1,40,28.2,5.7,100.1,69,FALSE,491
6,7,7_6,4,2,6,JActr,F1,aaCol-0,JActr,35,33.7,5.8,136.4,148,FALSE,516
6,7,7_7,4,3,1,Salt2,F1,aaCol-0,Salt2,35,39.5,5.3,113.3,119,FALSE,523
8,8,8_1,4,1,4,Drought,F1,aaCol-0,Drought,40,43,6.8,125.2,90,FALSE,536
6,8,8_2,4,2,8,Nutrient1,F1,aaCol-0,Nutrient1,29,37,5.2,123.4,142,FALSE,548
8,8,8_3,4,4,4,Nutrient2,F1,aaCol-0,Nutrient2,32,23.3,5.9,68.9,69,FALSE,573
6,8,8_6,4,5,12,Leaf,F1,aaCol-0,Leaf,38,23.5,5,23.7,21,FALSE,583
6,8,8_7,4,3,11,actr,F1,aaCol-0,actr2,38,28.1,5.4,52.3,48,FALSE,598
